:GT2K_RECIPE,0
:RECIPE_ID,1
:RECIPE_NAME,"Produkt"
:DEVICE_NUM,56
:RECORD_NUM,20
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT+01:00
:TIME_INF_ORDER,L
,DEV_COMMENT,DEV_TYPE,DISP_TYPE,DEV_SIZE,4
:RECORD_NAME,,,,,
:RECORD_ATTR,,,,,
:UPDATE,,,,,2022/01/04 15:52:36
1,,BIN16,DEC,1,"4"
2,,BIN32,DEC,2,"0"
3,,BIN16,DEC,1,"2500"
4,,BIN16,DEC,1,"25"
5,,BIN16,DEC,1,"0"
6,,BIT,BIN,1,"1"
7,,BIT,BIN,1,"0"
8,,BIN16,DEC,1,"35"
9,,BIN16,DEC,1,"1"
10,,BIN32_Unsigned,UNSIGNED_DEC,2,"8000"
11,,BIN16,DEC,1,"1"
12,,BIN32,DEC,2,"0"
13,,BIN32,DEC,2,"500000"
14,,BIN32,DEC,2,"115000"
15,,BIN32,DEC,2,"500000"
16,,BIN32,DEC,2,"160000"
17,,BIN32,DEC,2,"500000"
18,,BIN32,DEC,2,"0"
19,,BIN32,DEC,2,"500000"
20,,BIN32,DEC,2,"130000"
21,,BIN32,DEC,2,"20000"
22,,BIN32,DEC,2,"0"
23,,BIN32,DEC,2,"500000"
24,,BIN32,DEC,2,"108000"
25,,BIN32,DEC,2,"500000"
26,,BIN32,DEC,2,"160000"
27,,BIN32,DEC,2,"500000"
28,,BIN32,DEC,2,"0"
29,,BIN32,DEC,2,"500000"
30,,BIN32,DEC,2,"130000"
31,,BIN32,DEC,2,"20000"
32,,BIN16,DEC,1,"12341"
33,,BIN16,DEC,1,"13881"
34,,BIN16,DEC,1,"14132"
35,,BIN16,DEC,1,"0"
36,,BIN16,DEC,1,"0"
37,,BIN16,DEC,1,"0"
38,,BIN16,DEC,1,"8224"
39,,BIN16,DEC,1,"8224"
40,,BIN16,DEC,1,"8224"
41,,BIN16,DEC,1,"8224"
42,,BIN16,DEC,1,"5"
43,,BIN16,DEC,1,"100"
44,,BIN16,DEC,1,"40"
45,,BIN16,DEC,1,"100"
46,,BIN16,DEC,1,"80"
47,,BIN16,DEC,1,"100"
48,,BIN16,DEC,1,"0"
49,,BIN16,DEC,1,"0"
50,,BIN16,DEC,1,"0"
51,,BIN16,DEC,1,"0"
52,,BIN16,DEC,1,"0"
53,,BIN16,DEC,1,"0"
54,,BIN16,DEC,1,"0"
55,,BIN16,DEC,1,"0"
56,,BIN16,DEC,1,"0"
