:GT2K_RECIPE,0
:RECIPE_ID,1
:RECIPE_NAME,"Produkt"
:DEVICE_NUM,56
:RECORD_NUM,20
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT+01:00
:TIME_INF_ORDER,L
,DEV_COMMENT,DEV_TYPE,DISP_TYPE,DEV_SIZE,20
:RECORD_NAME,,,,,
:RECORD_ATTR,,,,,N
:UPDATE,,,,,
1,,BIN16,DEC,1,
2,,BIN32,DEC,2,
3,,BIN16,DEC,1,
4,,BIN16,DEC,1,
5,,BIN16,DEC,1,
6,,BIT,BIN,1,
7,,BIT,BIN,1,
8,,BIN16,DEC,1,
9,,BIN16,DEC,1,
10,,BIN32_Unsigned,UNSIGNED_DEC,2,
11,,BIN16,DEC,1,
12,,BIN32,DEC,2,
13,,BIN32,DEC,2,
14,,BIN32,DEC,2,
15,,BIN32,DEC,2,
16,,BIN32,DEC,2,
17,,BIN32,DEC,2,
18,,BIN32,DEC,2,
19,,BIN32,DEC,2,
20,,BIN32,DEC,2,
21,,BIN32,DEC,2,
22,,BIN32,DEC,2,
23,,BIN32,DEC,2,
24,,BIN32,DEC,2,
25,,BIN32,DEC,2,
26,,BIN32,DEC,2,
27,,BIN32,DEC,2,
28,,BIN32,DEC,2,
29,,BIN32,DEC,2,
30,,BIN32,DEC,2,
31,,BIN32,DEC,2,
32,,BIN16,DEC,1,
33,,BIN16,DEC,1,
34,,BIN16,DEC,1,
35,,BIN16,DEC,1,
36,,BIN16,DEC,1,
37,,BIN16,DEC,1,
38,,BIN16,DEC,1,
39,,BIN16,DEC,1,
40,,BIN16,DEC,1,
41,,BIN16,DEC,1,
42,,BIN16,DEC,1,
43,,BIN16,DEC,1,
44,,BIN16,DEC,1,
45,,BIN16,DEC,1,
46,,BIN16,DEC,1,
47,,BIN16,DEC,1,
48,,BIN16,DEC,1,
49,,BIN16,DEC,1,
50,,BIN16,DEC,1,
51,,BIN16,DEC,1,
52,,BIN16,DEC,1,
53,,BIN16,DEC,1,
54,,BIN16,DEC,1,
55,,BIN16,DEC,1,
56,,BIN16,DEC,1,
