:GT2K_OPELOG,1
:LOG_NUM,27
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT+01:00
:TIME_INF_ORDER,L
NO,DATE,SCRN_NO,ACT_ABBR,ACTION,OPNAME,OPERATOR,OPE_ID,USER_ID,SUB_NO,DATA_TYPE,CH_NUM,NET_STA,DEV_NAME,CHG_VALUE,CHG_VALUE_CONT,PREV_VALUE,PREV_VALUE_DISP
1,2024/07/07 21:57:23,-,Start,"Start GOT","-","-",-,23489,-,-,-,-,"-","GOT_No-0","-","-","-"
2,2024/07/07 21:57:23,-,TimeZone,"Set time zone","-","-",-,-,-,-,-,-,"-","GMT+01:00","-","-","-"
3,2024/07/07 21:58:15,-,Login,"Login","-","69498",5,-,-,-,-,-,"-","-","-","-","-"
4,2024/07/07 22:02:29,-,Start,"Start GOT","-","-",-,23489,-,-,-,-,"-","GOT_No-0","-","-","-"
5,2024/07/07 22:02:29,-,TimeZone,"Set time zone","-","-",-,-,-,-,-,-,"-","GMT+01:00","-","-","-"
6,2024/07/07 22:02:52,-,Login,"Login","-","69498",5,-,-,-,-,-,"-","-","-","-","-"
7,2024/07/07 22:09:48,-,Start,"Start GOT","-","-",-,23489,-,-,-,-,"-","GOT_No-0","-","-","-"
8,2024/07/07 22:09:48,-,TimeZone,"Set time zone","-","-",-,-,-,-,-,-,"-","GMT+01:00","-","-","-"
9,2024/07/07 22:10:26,-,Login,"Login","-","69096",11,-,-,-,-,-,"-","-","-","-","-"
10,2024/07/07 22:13:11,-,Start,"Start GOT","-","-",-,23489,-,-,-,-,"-","GOT_No-0","-","-","-"
11,2024/07/07 22:13:11,-,TimeZone,"Set time zone","-","-",-,-,-,-,-,-,"-","GMT+01:00","-","-","-"
12,2024/07/07 22:13:34,-,Login,"Login","-","69498",5,-,-,-,-,-,"-","-","-","-","-"
13,2024/07/07 22:21:07,-,Start,"Start GOT","-","-",-,23489,-,-,-,-,"-","GOT_No-0","-","-","-"
14,2024/07/07 22:21:07,-,TimeZone,"Set time zone","-","-",-,-,-,-,-,-,"-","GMT+01:00","-","-","-"
15,2024/07/07 22:21:56,-,Login,"Login","-","69498",5,-,-,-,-,-,"-","-","-","-","-"
16,2024/07/07 22:25:59,-,Start,"Start GOT","-","-",-,23489,-,-,-,-,"-","GOT_No-0","-","-","-"
17,2024/07/07 22:25:59,-,TimeZone,"Set time zone","-","-",-,-,-,-,-,-,"-","GMT+01:00","-","-","-"
18,2024/07/07 22:27:27,-,Login,"Login","-","69498",5,-,-,-,-,-,"-","-","-","-","-"
19,2024/07/07 22:38:12,-,Start,"Start GOT","-","-",-,23489,-,-,-,-,"-","GOT_No-0","-","-","-"
20,2024/07/07 22:38:12,-,TimeZone,"Set time zone","-","-",-,-,-,-,-,-,"-","GMT+01:00","-","-","-"
21,2024/07/07 22:38:38,-,Login,"Login","-","69498",5,-,-,-,-,-,"-","-","-","-","-"
22,2024/07/07 22:52:12,-,Start,"Start GOT","-","-",-,23489,-,-,-,-,"-","GOT_No-0","-","-","-"
23,2024/07/07 22:52:12,-,TimeZone,"Set time zone","-","-",-,-,-,-,-,-,"-","GMT+01:00","-","-","-"
24,2024/07/07 22:53:27,-,Login,"Login","-","69096",11,-,-,-,-,-,"-","-","-","-","-"
25,2024/07/07 23:19:57,-,Start,"Start GOT","-","-",-,23489,-,-,-,-,"-","GOT_No-0","-","-","-"
26,2024/07/07 23:19:57,-,TimeZone,"Set time zone","-","-",-,-,-,-,-,-,"-","GMT+01:00","-","-","-"
27,2024/07/07 23:20:28,-,Login,"Login","-","69498",5,-,-,-,-,-,"-","-","-","-","-"
