:GT2K_RECIPE,0
:RECIPE_ID,1
:RECIPE_NAME,"Produkt"
:DEVICE_NUM,38
:RECORD_NUM,16
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT+01:00
:TIME_INF_ORDER,L
,DEV_COMMENT,DEV_TYPE,DISP_TYPE,DEV_SIZE,3
:RECORD_NAME,,,,,"1"
:RECORD_ATTR,,,,,
:UPDATE,,,,,2019/03/13 09:26:03
1,,BIN16,DEC,1,"3"
2,,BIN32,DEC,2,"0"
3,,BIN16,DEC,1,"2500"
4,,BIN16,DEC,1,"25"
5,,BIN16,DEC,1,"0"
6,,BIT,BIN,1,"1"
7,,BIT,BIN,1,"0"
8,,BIN16,DEC,1,"5"
9,,BIN16,DEC,1,"3"
10,,BIN32_Unsigned,UNSIGNED_DEC,2,"8000"
11,,BIN16,DEC,1,"1"
12,,BIN32,DEC,2,"0"
13,,BIN32,DEC,2,"500000"
14,,BIN32,DEC,2,"100000"
15,,BIN32,DEC,2,"500000"
16,,BIN32,DEC,2,"65000"
17,,BIN32,DEC,2,"40000"
18,,BIN32,DEC,2,"100000"
19,,BIN32,DEC,2,"500000"
20,,BIN32,DEC,2,"0"
21,,BIN32,DEC,2,"300000"
22,,BIN32,DEC,2,"0"
23,,BIN32,DEC,2,"500000"
24,,BIN32,DEC,2,"145000"
25,,BIN32,DEC,2,"500000"
26,,BIN32,DEC,2,"75000"
27,,BIN32,DEC,2,"30000"
28,,BIN32,DEC,2,"80000"
29,,BIN32,DEC,2,"500000"
30,,BIN32,DEC,2,"0"
31,,BIN32,DEC,2,"300000"
32,,BIN16,DEC,1,"100"
33,,BIN16,DEC,1,"100"
34,,BIN16,DEC,1,"100"
35,,BIN16,DEC,1,"50"
36,,BIN16,DEC,1,"100"
37,,BIN16,DEC,1,"50"
38,,BIN16,DEC,1,"0"
