:GT2K_RECIPE,0
:RECIPE_ID,1
:RECIPE_NAME,"Produkt"
:DEVICE_NUM,38
:RECORD_NUM,16
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT+01:00
:TIME_INF_ORDER,L
,DEV_COMMENT,DEV_TYPE,DISP_TYPE,DEV_SIZE,2
:RECORD_NAME,,,,,"2"
:RECORD_ATTR,,,,,
:UPDATE,,,,,2019/03/19 09:06:48
1,,BIN16,DEC,1,"2"
2,,BIN32,DEC,2,"538976305"
3,,BIN16,DEC,1,"8224"
4,,BIN16,DEC,1,"8224"
5,,BIN16,DEC,1,"0"
6,,BIT,BIN,1,"1"
7,,BIT,BIN,1,"0"
8,,BIN16,DEC,1,"5"
9,,BIN16,DEC,1,"3"
10,,BIN32_Unsigned,UNSIGNED_DEC,2,"8000"
11,,BIN16,DEC,1,"0"
12,,BIN32,DEC,2,"0"
13,,BIN32,DEC,2,"100000"
14,,BIN32,DEC,2,"110000"
15,,BIN32,DEC,2,"500000"
16,,BIN32,DEC,2,"70000"
17,,BIN32,DEC,2,"10000"
18,,BIN32,DEC,2,"65000"
19,,BIN32,DEC,2,"500000"
20,,BIN32,DEC,2,"0"
21,,BIN32,DEC,2,"300000"
22,,BIN32,DEC,2,"0"
23,,BIN32,DEC,2,"500000"
24,,BIN32,DEC,2,"145000"
25,,BIN32,DEC,2,"500000"
26,,BIN32,DEC,2,"75000"
27,,BIN32,DEC,2,"30000"
28,,BIN32,DEC,2,"80000"
29,,BIN32,DEC,2,"100000"
30,,BIN32,DEC,2,"0"
31,,BIN32,DEC,2,"300000"
32,,BIN16,DEC,1,"100"
33,,BIN16,DEC,1,"100"
34,,BIN16,DEC,1,"100"
35,,BIN16,DEC,1,"100"
36,,BIN16,DEC,1,"100"
37,,BIN16,DEC,1,"100"
38,,BIN16,DEC,1,"0"
